Market,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1,2025 Q2 QTD,2025 Q2 EST,2025 Q3,2025 Q4,2026 Q1,2026 Q2,2026 Q3,2026 Q4,2027 Q1,2027 Q2,2027 Q3,2027 Q4,2028 Q1,2028 Q2,2028 Q3,2028 Q4,2029 Q1,2029 Q2,2029 Q3,2029 Q4,2030 Q1,2030 Q2,2030 Q3,2030 Q4,2031 Q1,2031 Q2,2031 Q3,2031 Q4,2032 Q1,2032 Q2,2032 Q3,2032 Q4,2033 Q1,2033 Q2,2033 Q3,2033 Q4,2034 Q1,2034 Q2,2034 Q3,2034 Q4,2035 Q1,2035 Q2
Houston - TX,558121,562320,566352,570246,576143,580919,584909,589967,594422,598378,600040,602088,603910,606637,607757,608525,613812,616828,620242,626548,631043,636860,642425,645215,650478,654597,660551,665714,669353,674041,677496,681640,689577,695979,702254,708466,716104,719812,726656,730115,731274,733274,734938,736286,737625,739110,740588,742381,744065,745803,747857,750170,752696,755396,758233,761180,764212,767305,770445,773617,776809,780013,783224,786439,789659,792889,796127,799373,802627,805888,809156,812429,815706,818986,822271,825560,828855,832155,835459,838769,842083,845401
Huntsville - AL,26247,26438,26464,26464,26464,27201,27201,27201,27201,27501,27501,27723,27723,27723,28011,28255,28427,28427,28427,28806,28806,29140,29765,30023,30923,31391,32072,32486,33382,34289,35459,36954,38331,39661,40741,43013,44694,46468,46982,48162,48162,48736,49063,49061,49373,49913,50073,50393,50609,50895,51237,51620,52036,52479,52941,53419,53910,54408,54914,55424,55937,56453,56970,57488,58007,58526,59045,59565,60084,60603,61122,61640,62159,62676,63194,63712,64229,64746,65264,65781,66298,66815
Indianapolis - IN,144508,144998,145925,145925,147393,147934,148401,148688,149300,149635,150452,150955,151806,152261,153492,153582,154252,154380,154191,155568,156565,156920,157369,158092,158901,159336,159847,160109,160585,160872,161539,162193,163699,165630,167265,168421,171338,172705,173783,174490,174890,175599,176162,176665,177144,177652,178186,178316,178834,179152,179532,179962,180431,180934,181463,182013,182581,183161,183751,184347,184948,185552,186158,186764,187372,187981,188590,189201,189812,190422,191033,191644,192255,192865,193477,194088,194699,195311,195924,196535,197148,197761
Inland Empire - CA,159045,159824,159824,159851,159851,160646,160654,160991,160940,161690,161743,162227,162567,163817,164107,164271,164271,165377,166158,166600,167465,167645,168030,168030,168189,168658,168932,169560,169688,170732,171070,171509,171895,172545,174162,174702,175293,176975,178301,178987,179247,179955,180623,181332,181909,182383,182849,183603,183955,184095,184293,184538,184821,185135,185474,185833,186209,186598,186996,187402,187814,188230,188650,189073,189497,189924,190352,190780,191209,191638,192067,192497,192927,193357,193787,194216,194647,195077,195506,195936,196366,196794
Jackson - MS,27471,27471,27471,27519,27519,27519,27764,27764,27764,27887,27887,27887,27887,27887,27887,27887,27887,27887,27887,27887,27887,28261,28861,28861,28861,29011,29011,29011,29011,29011,29011,29123,29123,29247,29247,29110,29110,29110,29137,29137,29137,29137,29136,29135,29353,29350,29347,29348,29351,29356,29363,29371,29380,29389,29399,29409,29420,29431,29442,29453,29464,29476,29487,29498,29510,29521,29532,29544,29555,29566,29578,29589,29600,29611,29623,29634,29645,29656,29667,29678,29689,29700
Jacksonville - FL,82326,82890,83205,83205,83205,84803,84883,85148,85944,86357,87206,87218,88092,88685,89730,90928,91773,92592,93649,95333,96057,97218,97985,98776,99849,100409,101137,102967,103273,105624,107033,109268,111585,113353,114911,117760,119942,121847,123953,125944,126229,127260,127357,127547,128230,128954,129777,130589,131409,132062,132748,133466,134211,134980,135767,136567,137374,138184,138992,139797,140597,141390,142177,142959,143734,144504,145269,146030,146786,147538,148285,149029,149769,150506,151240,151972,152701,153429,154153,154877,155598,156318
Kansas City - MO,138140,139755,140659,141425,141724,142750,144082,145605,147157,148247,148630,149039,149651,150688,152182,152277,152477,152730,154416,155125,156459,158758,160282,160555,162117,163149,164949,165957,166755,167983,169366,170673,171012,173055,174227,175568,176076,177094,178370,180610,180645,181516,181992,182927,184351,185617,186818,188049,189226,190354,191392,192414,193327,194249,195178,196113,197050,197990,198932,199873,200813,201752,202691,203627,204562,205496,206429,207359,208287,209214,210139,211062,211983,212904,213823,214740,215657,216572,217486,218400,219312,220223
Killeen - TX,18232,18232,18232,18232,18572,18572,18778,18742,18742,19038,19038,19056,19056,19318,19318,19584,19584,19584,19584,19598,19598,19598,19823,19893,19893,19893,19893,20059,20205,20205,20205,20541,20840,20840,21256,21708,22279,22279,22637,22817,22817,23033,23032,23031,23030,23028,23027,23047,23085,23138,23202,23275,23356,23443,23535,23630,23729,23831,23935,24040,24147,24255,24364,24474,24584,24695,24806,24918,25030,25143,25256,25369,25482,25595,25708,25822,25936,26049,26163,26277,26391,26506
Knoxville - TN,34418,34775,34831,35225,35151,35285,35361,35581,35581,35827,35827,35827,36375,36408,36408,36711,36719,37001,37591,37637,37667,37970,37970,38257,38927,39005,40028,40219,40411,40739,41077,41183,42207,42675,43342,43846,44214,44500,44994,45114,45347,46358,47234,47232,47576,47571,47894,47951,48054,48193,48358,48544,48746,48961,49186,49419,49657,49900,50146,50394,50644,50895,51147,51399,51651,51904,52157,52409,52662,52915,53167,53419,53671,53923,54175,54427,54679,54930,55182,55433,55685,55936
Lafayette - LA,14063,14063,14063,14172,14172,14420,14420,14640,14640,14640,14640,14640,14815,14815,14815,14815,14815,15055,15055,15067,15091,15091,15091,15091,15091,15091,15255,15255,15255,15351,15351,15351,15580,15748,15748,15748,16466,16466,16609,16619,16619,16619,16728,16980,16978,16977,17147,17159,17183,17215,17252,17295,17341,17391,17442,17496,17550,17606,17663,17720,17777,17835,17893,17951,18009,18067,18125,18183,18241,18299,18357,18415,18472,18530,18588,18646,18704,18761,18819,18877,18935,18992
Lakeland - FL,18201,18201,18201,18201,18201,18228,18285,18285,18861,18861,18981,18981,18981,19307,19307,19307,19307,19787,19787,20037,20398,20998,21661,22003,22103,22683,23180,23305,23773,24192,24701,25226,26847,27272,27608,28713,30546,31771,32823,33687,33687,33687,34010,34897,35469,35466,35637,36019,36578,36818,37104,37425,37775,38145,38533,38934,39345,39763,40187,40614,41044,41476,41910,42344,42779,43214,43649,44085,44520,44955,45390,45824,46259,46693,47127,47560,47994,48428,48861,49295,49728,50162
Lancaster - PA,14774,14984,15056,15190,15215,15450,15450,15524,15542,15802,15908,15932,15932,16039,16297,16934,16934,16960,16960,17175,17175,17294,17294,17621,17651,17777,17777,17814,17958,18006,18199,18214,18239,18247,18247,18616,18712,18952,19321,19321,19321,19321,19320,19459,19458,20057,20066,20148,20193,20250,20317,20390,20469,20552,20639,20729,20820,20912,21006,21100,21195,21290,21385,21480,21576,21671,21766,21862,21957,22052,22147,22242,22337,22432,22527,22622,22717,22812,22906,23001,23096,23190
Lansing - MI,28686,28677,28801,28778,29004,29012,29033,29027,29188,29224,29224,29266,29928,29928,29928,29928,29928,29928,29928,29961,30106,30593,30633,30633,30925,30955,30976,31157,31157,31157,31157,31389,31438,31534,31534,31534,31534,31534,31642,31642,31642,31642,31640,31638,31636,31768,31766,31768,31772,31778,31905,31914,31923,31932,31943,31953,31964,31975,31986,31997,32008,32019,32030,32041,32052,32063,32075,32086,32097,32108,32119,32130,32141,32152,32163,32174,32185,32196,32207,32218,32229,32240
Las Vegas - NV,157962,158243,158994,159609,160419,161186,161850,163849,164782,165066,165373,166024,167210,167451,167988,168708,169599,170545,170925,171425,172299,173199,174636,175418,176117,176698,177597,177738,178806,180071,180175,182155,183222,184931,186690,188267,189251,190023,191810,192920,193140,193946,194599,195194,195746,196249,196614,196674,197189,197450,197779,198165,198595,199062,199555,200072,200606,201153,201711,202276,202846,203422,204002,204584,205170,205758,206349,206941,207535,208129,208726,209323,209921,210519,211118,211717,212317,212918,213519,214121,214724,215326
Lehigh Valley - PA,29503,30243,30243,30841,30841,30841,30937,30967,31279,31531,31531,31687,32137,32276,32276,32383,32554,32733,32855,32873,32878,33196,33399,33677,33677,33677,33869,34395,34975,35427,35590,35697,35817,35958,36132,36186,36186,36305,36748,37079,37119,37658,37657,37963,38381,38379,38720,38801,38873,38964,39070,39187,39314,39447,39585,39728,39874,40022,40171,40322,40473,40625,40777,40929,41081,41233,41386,41538,41690,41842,41994,42146,42298,42449,42601,42752,42904,43055,43207,43358,43509,43660
Lexington - KY,33103,33620,33860,33845,33845,34041,34682,35052,34956,35305,35305,35800,35800,36024,36024,36336,36384,36393,36335,36335,36335,36746,36746,37054,37278,37278,37427,37427,37427,37427,37697,38122,38804,38904,38904,38904,39161,39161,39574,39685,39685,39827,39826,39825,39821,39817,39814,39826,39850,39883,39923,39969,40019,40072,40127,40185,40244,40304,40365,40427,40489,40551,40614,40676,40739,40802,40864,40927,40990,41052,41115,41178,41240,41302,41365,41427,41489,41552,41614,41676,41738,41800
Little Rock - AR,45318,45391,45418,45790,45790,46655,46898,47613,48056,48419,48419,48435,48519,48834,48997,49073,49126,49126,49225,49542,49560,50679,51254,51426,51518,51770,52054,52355,52409,52409,52409,52469,52469,52718,52718,52828,53231,53589,53872,53872,53872,54492,54491,54489,54484,54480,54475,54488,54515,54552,54597,54649,54705,54765,54828,54893,54960,55028,55097,55166,55237,55307,55378,55449,55519,55590,55661,55732,55803,55874,55944,56015,56086,56156,56227,56297,56367,56438,56508,56578,56649,56719
Long Island - NY,47754,48029,48120,48462,48744,49367,49477,49477,49785,49976,49992,50281,50270,50803,50982,50982,51492,51840,52266,52342,52677,53089,53734,53940,53990,54318,54395,54584,54882,55577,55626,55701,55763,56594,57496,58128,58224,58235,58450,58636,58690,58891,59031,59220,59392,59662,59860,59858,59856,60310,60377,60478,60607,60759,60929,61114,61311,61518,61732,61952,62177,62405,62636,62869,63104,63339,63574,63810,64046,64282,64518,64754,64990,65226,65462,65696,65930,66165,66399,66632,66865,67098
Los Angeles - CA,956196,956896,959592,961223,965215,966641,970091,970678,971815,973623,974319,975450,977983,980873,983942,986878,988504,990558,994359,997014,999559,1002565,1005791,1008393,1011510,1013917,1017058,1019407,1021557,1023643,1026818,1029499,1033493,1036726,1038275,1040141,1042796,1045088,1047219,1048806,1049053,1050570,1051707,1052796,1053997,1055168,1055860,1057025,1058046,1059215,1060438,1061668,1063000,1064504,1066003,1067597,1068648,1069769,1071032,1072420,1073911,1075493,1077154,1078882,1080667,1082503,1084383,1086299,1088247,1090223,1092221,1094239,1096272,1098319,1100377,1102446,1104522,1106606,1108695,1110789,1112886,1114985
Louisville - KY,72455,73568,73661,73817,74006,74919,75206,75403,76054,76216,76260,77103,78351,78517,79141,79403,80037,80551,81241,82278,82974,83253,83803,84347,84925,85842,86000,86800,87087,87875,88630,89248,89652,90312,90568,91614,92502,94012,94590,95152,95356,95572,96023,96195,96461,96771,96770,96838,97233,97404,97609,97840,98619,98886,99166,99456,99753,100056,100362,100672,100983,101296,101609,101923,102238,102553,102868,103183,103498,103812,104127,104441,104755,105068,105382,105695,106009,106322,106635,106948,107261,107574
Madison - WI,51342,52517,52654,52850,53907,54652,55064,55059,56130,57157,58101,58899,59136,60429,60663,61162,61384,62202,62376,62601,63287,63680,63754,63840,64886,66364,66853,67095,68015,68955,69314,70371,71564,73254,73791,74088,75143,75945,76577,77117,77117,77513,77889,78129,78445,78439,78921,79348,79949,80275,80655,81075,81527,82002,82494,82999,83514,84034,84560,85088,85618,86150,86682,87215,87748,88281,88815,89348,89881,90414,90946,91479,92011,92543,93075,93607,94139,94671,95203,95735,96267,96799
Manchester - NH,20859,20859,20879,21023,21023,21023,21269,21281,21281,21510,21510,21669,21669,21669,21669,21669,21677,21917,22197,22258,22258,22258,22258,22258,22437,22437,22449,22486,22718,22904,22917,23350,23480,23492,23900,24125,24269,24659,24836,24942,25102,25102,25101,25356,25354,25353,25363,25446,25495,25557,25628,25707,25792,25882,25975,26071,26170,26269,26370,26471,26573,26676,26778,26881,26983,27086,27188,27291,27394,27496,27598,27701,27803,27905,28007,28109,28211,28313,28415,28517,28619,28721
McAllen - TX,14482,14643,14643,14828,14979,15263,15271,15479,16190,16214,16358,16487,16619,16895,16977,17380,17447,17467,17512,17702,17842,17906,17954,17960,18248,18248,18260,18480,18844,19326,19356,19633,19719,19980,20044,20121,20809,21152,21291,21659,21659,21747,21746,21745,21744,21743,21742,21758,21789,21833,21885,21945,22012,22083,22158,22236,22318,22401,22486,22573,22660,22749,22838,22928,23019,23110,23201,23293,23385,23477,23570,23662,23755,23848,23941,24034,24128,24221,24314,24408,24502,24595
Melbourne - FL,19654,19654,19654,19936,19936,19936,19936,19936,19936,20152,20152,20160,20160,20419,20719,20719,20991,21157,21347,22795,23083,23735,24009,24206,24495,24882,24982,24988,25375,25899,26199,26780,27455,27436,27795,28245,28888,30007,30111,31062,31062,31233,31232,31231,31300,31889,31935,31984,32343,32459,32598,32754,32924,33104,33293,33488,33688,33891,34098,34306,34515,34726,34937,35148,35360,35571,35783,35995,36207,36419,36631,36842,37053,37265,37476,37687,37898,38109,38320,38531,38742,38953
Memphis - TN,93478,93176,93214,93214,93804,93914,93714,93979,93877,94132,94132,94405,94405,94459,94303,94580,94580,94868,95561,95875,95869,95853,95853,96359,96889,97161,97336,97474,97458,98371,98391,98942,99350,99362,99636,99828,100147,100510,101041,102237,102237,102674,102722,102718,102766,102921,103005,103097,103175,103259,103350,103450,103558,103674,103799,103931,104068,104211,104357,104506,104659,104814,104972,105132,105295,105460,105625,105794,105964,106136,106307,106481,106655,106829,107005,107182,107360,107537,107716,107895,108076,108256
Miami - FL,140634,140856,141807,143178,145554,145789,148333,149468,149824,151556,151939,153259,153716,155892,156485,158483,162359,163113,164403,166525,169090,170598,172470,173537,175403,177415,178808,179113,180955,183668,184825,186848,188579,189646,191236,192771,195835,197890,201047,202075,202075,203726,206667,208384,210056,211641,211555,212974,215485,217252,218882,220117,221357,222609,223615,224705,225417,225375,225520,225860,226366,227010,227769,228625,229559,230559,231613,232711,233843,235004,236185,237383,238594,239813,241037,242264,243493,244721,245948,247172,248392,249608
Milwaukee - WI,93236,94199,94482,94482,95697,96380,96998,97843,98542,99443,100203,100364,101585,102125,102761,103643,104537,104971,105202,105795,106569,106935,107523,108060,108491,109108,109436,110016,110702,111524,111876,112417,112962,114034,114728,115441,116210,116819,117647,118873,119186,119774,119975,120298,120311,120627,120799,121315,121795,122544,122944,123367,123807,124262,124728,125203,125684,126171,126663,127158,127655,128154,128655,129157,129660,130165,130671,131176,131683,132190,132696,133203,133710,134217,134725,135233,135741,136248,136756,137265,137773,138281
Minneapolis - MN,209532,210522,211602,212543,213034,214539,215834,216999,217427,218548,219349,220546,223097,224451,225352,225790,227177,230088,231007,232565,235123,238591,240745,242721,245629,248650,251473,253901,256750,261045,262183,263703,266709,270163,274097,277308,279365,282375,284638,285776,286253,287117,288101,288789,289675,290562,291242,292233,292944,293829,294840,295944,297118,298342,299605,300897,302208,303536,304874,306220,307573,308931,310292,311657,313026,314397,315768,317142,318519,319897,321275,322655,324036,325418,326800,328183,329567,330953,332340,333727,335115,336504
Mobile - AL,20858,20858,20908,20908,20908,20908,20908,20908,21124,21124,21124,21140,21392,21392,21392,21430,21430,21430,21703,21703,21883,21883,21962,21962,21962,22045,22045,22105,22105,22105,22105,22082,22082,22250,22250,22250,22250,22250,22250,22250,22250,22502,22501,22500,22499,22496,22494,22496,22502,22509,22518,22529,22541,22553,22567,22580,22595,22609,22624,22639,22654,22669,22684,22699,22714,22729,22744,22759,22774,22789,22805,22820,22835,22849,22864,22879,22894,22909,22924,22939,22954,22969
Modesto - CA,16225,16225,16225,16225,16225,16225,16225,16225,16225,16225,16225,16225,16225,16225,16225,16225,16225,16225,16225,16225,16225,16325,16325,16325,16325,16325,16325,16325,16361,16361,16361,16361,16615,16615,16663,16663,16663,16663,16663,16663,16663,16663,16662,16662,16661,16660,16659,16657,16657,16659,16664,16670,16678,16687,16698,16708,16720,16731,16744,16756,16769,16781,16794,16807,16820,16833,16846,16859,16873,16886,16899,16912,16926,16939,16952,16965,16979,16992,17005,17018,17032,17045
Montgomery - AL,20360,20360,20414,20810,20810,20810,20810,20845,20833,20833,20833,20833,20833,20856,20856,20856,20856,20856,20856,20856,20957,20957,20957,20957,20957,20957,20957,20957,20957,20957,20957,21084,21084,21084,21084,21118,21118,21118,21118,21118,21118,21118,21117,21117,21115,21113,21375,21376,21378,21383,21388,21395,21402,21410,21418,21426,21435,21444,21453,21462,21472,21481,21490,21500,21509,21518,21528,21537,21546,21556,21565,21574,21583,21593,21602,21611,21620,21629,21638,21648,21657,21666
Myrtle Beach - SC,10034,10034,10034,10082,10082,10428,10428,10668,10973,10973,10973,10973,10973,11663,11887,12191,12211,12695,12695,13266,13609,13609,14554,14956,15468,15510,15892,16765,17095,17804,17911,18421,20121,21215,21929,22786,23806,26024,27713,28954,28954,29389,29649,29846,29973,29970,30030,30133,30317,30560,30850,31175,31529,31904,32296,32702,33117,33541,33969,34402,34837,35274,35713,36152,36592,37032,37473,37913,38354,38794,39234,39674,40113,40553,40992,41431,41870,42308,42747,43186,43625,44063
Naples - FL,8998,8998,9280,9286,9286,9286,9286,9286,9286,9286,9286,9286,9582,9886,10180,10180,10814,10814,10814,10814,10814,11134,11134,11134,11624,12234,12234,12654,12958,13078,13364,13928,13928,13928,13928,14604,14915,14915,14915,15401,15401,15704,15936,15936,15934,16198,16197,16750,16795,16855,16926,17006,17093,17186,17283,17383,17486,17590,17696,17803,17911,18019,18128,18236,18345,18454,18563,18672,18780,18889,18998,19107,19215,19324,19432,19541,19649,19758,19866,19975,20084,20193
Nashville - TN,105363,105683,107044,107359,109253,111179,112993,114608,117080,119096,121164,123007,124141,125574,126934,128489,128737,130056,131154,132423,134412,137118,138194,139389,140842,142292,144494,146939,149093,152109,153710,157427,161659,164349,165732,169355,174179,177230,178775,180228,180885,182769,184659,186358,188035,189500,191127,193085,194572,195542,196322,197268,198347,199534,200806,202145,203534,204960,206411,207878,209354,210832,212311,213787,215260,216729,218195,219657,221116,222569,224018,225460,226897,228328,229754,231175,232592,234004,235412,236816,238216,239612
New Haven - CT,33329,33661,33946,33946,34009,34403,34403,34403,34409,34802,34802,34802,35051,35051,35063,35095,35778,35778,35986,36009,36326,36376,36418,36487,36903,36903,37014,37821,37912,37972,38246,38340,38490,38606,38950,39424,39829,40409,40799,41100,41100,41100,41332,41548,41828,41902,42221,42281,42430,42547,42683,42833,42995,43165,43343,43525,43712,43902,44093,44286,44479,44674,44868,45063,45258,45453,45648,45843,46038,46233,46427,46622,46816,47010,47204,47398,47592,47786,47980,48174,48367,48561
New Orleans - LA,65380,65702,65702,65998,65998,66294,66429,66479,67127,67127,67127,67127,67093,67445,67524,67524,67908,67928,68906,69577,70339,70543,70833,70768,70872,70948,70984,71004,71602,71638,71646,71729,71745,71745,71745,71745,71902,71952,72222,72078,72283,72453,72470,72434,72400,72625,72890,72886,72920,72987,73080,73194,73326,73471,73626,73790,73961,74136,74315,74496,74678,74862,75047,75232,75418,75605,75792,75980,76167,76355,76543,76731,76920,77110,77300,77490,77680,77871,78062,78253,78445,78637
New York - NY,1362009,1364801,1372230,1375482,1378869,1385070,1389076,1399738,1404488,1412727,1418245,1422995,1427620,1435256,1441956,1447932,1453752,1457758,1463034,1468270,1472593,1476959,1480768,1483863,1490002,1494876,1501653,1509358,1517987,1524846,1530848,1535310,1543136,1547464,1553141,1558515,1565416,1575598,1582801,1587055,1587855,1593002,1597407,1600146,1603960,1607534,1611799,1615838,1619387,1622820,1626270,1629619,1632966,1636448,1640109,1644014,1647643,1649993,1652693,1655691,1658950,1662431,1666105,1669943,1673923,1678024,1682227,1686517,1690879,1695305,1699781,1704300,1708855,1713439,1718047,1722674,1727317,1731971,1736635,1741306,1745982,1750661
Norfolk - VA,106978,107334,107762,107600,107996,109102,109955,110481,110481,110725,111273,111584,112057,112789,113304,113570,113861,114462,115109,115213,116153,117202,117378,117645,118388,118595,118820,119428,120018,120325,120728,121020,121626,121881,122168,123104,124088,124921,125605,125605,125673,125749,126145,126199,126500,126717,126903,127143,127283,127485,127736,128024,128342,128684,129048,129428,129823,130228,130643,131065,131494,131928,132367,132810,133257,133707,134160,134615,135073,135532,135993,136455,136919,137384,137848,138315,138783,139252,139722,140193,140663,141135
Northern New Jersey - NJ,134202,134669,135583,135805,136135,136901,137356,137562,139646,141258,141424,142048,143508,143881,144062,144709,145392,147089,147797,148848,149068,149806,151132,151700,152379,153262,154518,155740,156469,156960,158236,159239,162150,163633,165269,166780,168316,171170,171498,172911,173713,174922,175945,176908,177993,179068,179951,180752,181518,182339,182703,183113,183597,184143,184741,185380,186055,186756,187480,188222,188978,189746,190521,191304,192093,192885,193680,194477,195274,196071,196867,197662,198455,199245,200035,200821,201604,202385,203163,203940,204714,205486
Northwest Arkansas - AR,27492,27988,28188,28437,28437,28437,29285,30125,30553,31320,31425,31477,31582,31750,32289,32560,34314,34386,34472,34800,35140,35548,35943,36319,37271,38014,38297,38855,38895,39713,40190,40527,40818,41385,41742,42255,42738,43266,44083,44527,44648,44825,45076,45576,45708,45703,46670,46730,47306,48239,48411,48605,48815,49039,49273,49515,49763,50016,50272,50530,50790,51051,51313,51576,51839,52102,52365,52628,52891,53154,53416,53679,53941,54203,54465,54727,54989,55251,55513,55775,56037,56298
Ocala - FL,7594,7594,7594,7594,7594,7594,7594,7594,7594,7594,7594,7594,7898,7898,7898,7898,7898,7898,7898,7898,7898,7898,7898,7898,7904,7904,7894,7894,7894,7894,7894,8938,8949,9876,9876,9985,10225,10327,10327,11755,11755,11755,11754,11982,12041,12040,12926,12961,13025,13109,13209,13322,13444,13574,13709,13850,13994,14140,14288,14438,14589,14740,14892,15044,15196,15349,15501,15653,15806,15958,16110,16263,16415,16567,16719,16871,17022,17174,17326,17478,17630,17781
Ogden - UT,14939,14939,15239,15386,15442,15442,15891,16118,16166,16387,16603,16682,16963,17179,17435,17476,17710,17722,18074,18275,18816,19163,19229,19789,20296,20537,20853,21388,22164,22595,23246,23841,24541,25262,25924,25940,26410,26566,26605,27151,27151,27478,27477,27641,28113,28201,28553,28849,28929,29038,29169,29320,29485,29663,29851,30047,30250,30458,30670,30886,31105,31326,31549,31773,31999,32226,32454,32683,32913,33143,33374,33605,33836,34068,34300,34533,34765,34998,35231,35465,35698,35932
Oklahoma City - OK,86985,87510,87800,88454,89062,89647,89693,89822,90569,90729,90807,91143,91162,91472,91814,92351,92306,92647,92684,92711,92780,92854,93224,93380,94011,94558,94944,95234,95471,95483,96093,96808,96559,97156,97388,98050,99032,99719,100255,100523,100807,101072,101653,101836,102065,102091,102130,102221,102342,102492,102668,102864,103079,103310,103555,103812,104080,104356,104640,104931,105226,105526,105831,106139,106451,106766,107082,107403,107724,108048,108374,108700,109029,109358,109689,110021,110354,110688,111023,111359,111697,112034
Omaha - NE,63499,63470,63506,63863,64265,65103,65366,65359,66370,67371,67740,68153,69306,69306,69669,69775,70341,70737,71802,72206,73280,73683,74131,74399,74972,74972,75692,75881,76490,76997,77180,78247,78834,79707,80183,80332,81149,81577,81877,82240,82744,83262,83784,84609,85008,85549,85773,86353,87343,87697,88042,88425,88835,89267,89715,90174,90642,91116,91594,92074,92556,93040,93524,94008,94493,94978,95463,95948,96433,96918,97402,97886,98370,98854,99338,99822,100306,100789,101273,101757,102241,102725
Orange County - CA,232159,232811,233528,233716,234269,235041,235055,237440,239046,239759,239759,241762,242682,243212,243802,244381,245207,246340,249221,250046,250064,249950,250615,251854,251901,252269,253164,253942,254345,254591,254905,255830,256384,257375,257375,257844,258082,260212,260212,260533,260533,261259,262512,263001,263873,264953,265200,265706,266148,266727,266738,266837,267015,267261,267568,267929,268336,268783,269266,269780,270323,270892,271482,272090,272714,273353,274002,274662,275332,276009,276694,277384,278079,278779,279483,280189,280899,281612,282325,283041,283757,284477
Orlando - FL,145372,147705,148699,149371,150785,151759,152902,154003,156319,158359,159482,161465,163267,166144,168678,169504,172031,173961,176056,177265,178703,181811,184018,185469,187898,190724,192931,194447,195544,198953,201732,204660,207924,211182,214887,219433,222083,226974,227822,231466,231811,234104,236296,238329,240013,241582,243091,244801,246443,247592,248638,249839,251161,252579,254074,255627,257224,258850,260500,262163,263836,265513,267192,268871,270547,272222,273892,275558,277217,278871,280518,282159,283794,285422,287044,288661,290273,291880,293481,295080,296673,298263
Palm Beach - FL,60612,60623,61669,61703,61884,62293,63302,64060,64536,64951,65955,67086,67665,68320,68914,68897,69289,69708,70068,70688,70700,70970,72357,72880,73490,73740,74442,74903,75810,76299,76560,77343,78485,79157,79475,80577,82298,83991,84103,84303,84428,84978,85677,85750,86212,86764,87104,87183,87726,88296,88604,88956,89344,89758,90193,90643,91107,91579,92058,92542,93028,93518,94009,94499,94989,95479,95968,96456,96942,97428,97913,98397,98879,99360,99840,100319,100796,101273,101749,102223,102697,103169
Pensacola - FL,14404,14404,14404,14922,14969,14969,14969,14969,15209,15581,15581,15839,15839,15839,16067,16067,16067,16067,16067,16067,16067,16091,16182,16532,16532,16886,17362,17674,18160,18265,18640,19079,19636,20091,20261,20928,20928,21252,21745,22075,22075,22075,22074,22159,22157,22373,22654,22685,22740,22814,22902,23001,23108,23223,23342,23466,23593,23722,23853,23985,24118,24251,24385,24519,24653,24788,24922,25057,25191,25325,25460,25594,25728,25862,25996,26130,26264,26398,26531,26665,26799,26933
Philadelphia - PA,301046,302638,303802,304648,306770,307712,308187,309518,311318,312714,313821,314403,315324,318466,320449,321949,323979,324706,326345,329187,330352,332964,334836,335851,338155,340326,341957,343021,344414,347172,348275,350956,353579,359132,362051,365289,369083,373350,375310,377232,377404,378978,379949,381402,382585,383811,384794,386074,387280,388402,389269,390253,391331,392482,393690,394940,396223,397528,398849,400180,401518,402860,404205,405553,406900,408248,409596,410941,412284,413626,414964,416299,417632,418961,420289,421612,422932,424250,425562,426873,428181,429486
Phoenix - AZ,297033,298185,300796,301379,302616,304085,305259,306004,307736,310559,311779,314647,316076,318446,320721,321925,323666,325074,329783,332004,334351,335868,337920,340698,344814,347360,349989,353620,357389,360680,365055,369541,374128,379063,383729,388810,395796,401884,409415,414520,415656,418358,421494,423980,426201,428193,429977,431315,432978,434529,436181,438210,439494,440660,442038,443588,445283,447094,449001,450987,453035,455125,457250,459401,461572,463756,465949,468146,470343,472538,474729,476915,479097,481273,483445,485609,487769,489922,492070,494213,496353,498488
Pittsburgh - PA,91435,92182,93179,93395,94318,94670,95354,95945,96189,97432,97453,97661,98398,98631,98631,98631,98755,99115,99173,100017,100240,100409,100544,100581,100848,101665,102050,102273,102558,102655,102901,103491,104252,104607,104607,105355,105355,105650,106215,106285,106465,106797,107204,107548,107821,108132,108476,108835,108982,109151,109365,109613,109891,110191,110510,110844,111189,111542,111899,112261,112626,112992,113360,113727,114095,114463,114830,115197,115563,115928,116292,116654,117016,117377,117736,118095,118453,118810,119166,119521,119875,120228
Port St. Lucie - FL,8572,8572,8572,8572,8572,8572,8572,8572,8572,8572,8572,8572,8572,8572,8572,8876,8876,9073,9073,9083,9683,9883,9883,9969,10253,10253,10263,10587,10689,10697,10894,11518,12530,13719,14425,14551,15199,15199,15419,15419,15419,15564,15563,15777,15801,15800,15800,16092,16165,16261,16376,16504,16644,16793,16948,17109,17273,17441,17611,17782,17954,18127,18301,18475,18649,18824,18998,19172,19347,19521,19695,19869,20044,20217,20391,20565,20739,20913,21086,21260,21434,21607
